,IDs,Age,Annual_Income,Investment_Amount,Risk_Tolerance_Score,Months_of_Investing_Experience,Number_of_Active_Investments,Potential_Return_Rate,Investment_Duration,Investment_to_Income_Ratio,Education,Employment_Status,Marital_Status,Owns_Property,Has_Dependents,Investment_Sector,Has_Investment_Advisor
0,0,44.3232547279944,73311.0,9698.0,669,71,4.0,9.13,24,0.3,2,3,3,0,0,4,1,
1,1,44.3232547279944,123781.0,165751.0,739,82,2.0,14.74,12,0.71,4,4,3,1,1,3,1,
2,3,37.0,109759.0,207283.0,1008,114,1.0,17.14,12,0.86,2,3,3,0,1,2,0,
3,4,41.0,57751.0,131814.590994711,836,97,2.0,7.04,60,0.32,1,3,1,1,0,3,0,
4,5,44.3232547279944,137520.0,182292.0,629,59,1.0,10.3,12,0.46,3,1,1,1,1,3,0,
5,7,19.0,145793.0,131814.590994711,660,59,1.0,10.94,24,0.26,2,3,2,0,0,5,0,
6,8,45.0,42631.0,17360.0,1032,62,1.0,6.56,12,0.49,1,2,1,0,0,3,1,
7,9,44.3232547279944,80129.8897460505,133724.0,552,26,4.0,19.54,48,0.7,1,3,1,1,0,3,0,
8,10,67.0,34257.0,28450.0,586,94,1.0,15.42,36,0.4,2,3,3,1,0,4,1,
9,11,22.0,149917.0,27648.0,302,102,4.0,18.96,24,0.78,1,1,3,0,1,3,1,
10,12,44.3232547279944,28199.0,103972.0,514,69,3.0,12.0,60,0.23,2,1,1,0,1,5,0,
11,13,44.3232547279944,58234.0,69865.0,664,25,4.0,4.76,12,0.71,2,2,3,1,1,2,0,
12,14,51.0,70461.0,190900.0,516,36,1.0,15.15,24,0.26,1,1,2,0,1,5,1,
13,15,31.0,134097.0,44963.0,551,23,1.0,11.85,48,0.9,3,4,1,0,1,5,0,
14,16,44.3232547279944,129896.0,162164.0,355,82,1.0,14.0743642237595,48,0.15,2,1,1,0,1,4,0,
15,17,30.0,128683.0,183508.0,494,112,3.0,21.38,36,0.5,2,3,2,0,0,1,1,
16,18,23.0,80129.8897460505,31936.0,664,44,2.0,24.61,48,0.52,3,2,1,0,0,3,0,
17,19,44.3232547279944,91890.0,80456.0,827,20,4.0,22.88,24,0.42,3,2,1,1,1,1,1,
18,20,27.0,28066.0,172382.0,585,32,4.0,13.55,24,0.77,2,4,1,0,0,4,0,
19,21,40.0,59500.0,131814.590994711,479,84,3.0,3.68,48,0.3,2,2,3,0,0,2,1,
20,22,35.0,136787.0,108285.0,331,24,4.0,7.1,60,0.75,2,3,2,0,0,4,1,
21,23,19.0,149620.0,131814.590994711,480,10,3.0,20.05,12,0.65,3,4,2,1,1,2,1,
22,24,48.0,35475.0,169251.0,562,108,2.0,4.75,60,0.78,3,4,2,0,1,5,0,
23,25,32.0,40724.0,226098.0,1077,67,2.0,15.48,60,0.27,4,1,2,0,1,3,0,
24,26,41.0,88336.0,226545.0,484,15,2.52142419914303,21.36,60,0.18,2,1,2,1,0,4,0,
25,27,47.0,89459.0,104091.0,753,72,2.0,14.0743642237595,24,0.7,3,3,3,1,1,3,0,
26,28,67.0,98866.0,139055.0,847,29,2.0,13.53,36,0.39,1,4,2,0,0,1,1,
27,29,30.0,17626.0,94161.0,706,55,2.0,24.41,12,0.9,4,4,2,1,1,2,1,
28,30,26.0,111048.0,93863.0,357,9,3.0,22.48,12,0.83,1,3,3,1,0,2,0,
29,31,54.0,21147.0,229959.0,566,4,2.0,10.94,60,0.85,4,1,2,0,0,4,1,
30,32,44.3232547279944,22018.0,219900.0,707,28,1.0,7.81,24,0.45,4,2,1,0,1,2,1,
31,33,39.0,94024.0,244501.0,714,109,1.0,22.65,36,0.63,4,1,1,0,0,5,0,
32,34,19.0,122172.0,108821.0,465,3,2.0,11.03,24,0.53,1,4,3,1,1,5,0,
33,35,65.0,80129.8897460505,83643.0,471,80,2.0,14.0743642237595,48,0.34,2,4,1,0,1,1,1,
34,36,53.0,103733.0,137299.0,402,97,4.0,4.72,12,0.59,1,3,2,0,0,3,0,
35,37,48.0,74903.0,56099.0,686,61,4.0,2.71,48,0.23,3,1,3,0,0,2,0,
36,38,50.0,80129.8897460505,68642.0,486,14,3.0,21.96,12,0.71,1,1,1,1,0,5,1,
37,39,57.0,98580.0,142769.0,420,4,3.0,19.77,60,0.7,4,2,1,0,1,3,0,
38,40,31.0,55236.0,183467.0,666,39,3.0,19.79,36,0.56,3,3,1,0,1,2,1,
39,41,50.0,129370.0,232769.0,810,16,3.0,11.37,48,0.11,1,1,2,0,1,5,1,
40,42,44.3232547279944,79220.0,222709.0,752,110,3.0,3.76,48,0.43,1,2,2,1,1,5,1,
41,43,31.0,32788.0,92658.0,397,72,3.0,22.0,12,0.33,4,4,1,1,1,1,0,
42,44,51.0,17212.0,26534.0,562,55,1.0,9.08,24,0.47,3,4,2,0,1,4,1,
43,45,52.0,95242.0,108697.0,403,117,4.0,9.83,36,0.76,4,2,2,0,1,3,1,
44,46,33.0,80129.8897460505,125845.0,367,33,4.0,17.01,12,0.3,3,3,2,0,1,2,0,
45,47,44.3232547279944,145107.0,35704.0,653,98,1.0,5.06,12,0.17,2,4,2,0,1,2,1,
46,48,34.0,39299.0,142095.0,647,115,3.0,9.67,24,0.22,1,1,1,0,1,4,0,
47,49,40.0,122111.0,178171.0,705,97,1.0,24.63,36,0.33,1,2,1,1,2,2,0,
48,50,33.0,144501.0,137657.0,673,0,1.0,16.02,12,0.77,2,3,3,1,1,3,0,
49,51,21.0,69880.0,101457.0,769,50,3.0,14.1,36,0.31,1,1,2,2,1,4,0,
50,52,55.0,18798.0,120295.0,324,50,3.0,15.09,48,0.23,4,1,1,0,1,2,0,
51,53,67.0,80129.8897460505,122006.0,783,17,1.0,2.08,36,0.83,1,4,1,1,0,5,0,
